"Date","Price","Open","High","Low","Vol.","Change %"
"14-10-2020","5,740.00","5,700.00","5,780.00","5,670.00","1.29K","1.23%"
"13-10-2020","5,670.00","5,664.00","5,750.00","5,660.00","1.48K","-0.04%"
"12-10-2020","5,672.00","5,678.00","5,706.00","5,622.00","1.71K","-0.42%"
"09-10-2020","5,696.00","5,724.00","5,742.00","5,672.00","3.60K","-0.25%"
"08-10-2020","5,710.00","5,726.00","5,734.00","5,692.00","1.62K","-0.21%"
"07-10-2020","5,722.00","5,750.00","5,750.00","5,690.00","1.33K","-0.42%"
"06-10-2020","5,746.00","5,772.00","5,780.00","5,736.00","1.35K","-0.48%"
"05-10-2020","5,774.00","5,820.00","5,820.00","5,758.00","1.26K","-0.41%"
"01-10-2020","5,798.00","5,790.00","5,842.00","5,774.00","2.85K","0.38%"
"30-09-2020","5,776.00","5,780.00","5,796.00","5,722.00","1.38K","-0.14%"
"29-09-2020","5,784.00","5,774.00","5,800.00","5,756.00","1.13K","0.28%"
"28-09-2020","5,768.00","5,748.00","5,848.00","5,748.00","1.60K","0.35%"
"25-09-2020","5,748.00","5,716.00","5,770.00","5,716.00","1.09K","0.84%"
"24-09-2020","5,700.00","5,820.00","5,820.00","5,684.00","1.89K","-1.69%"
"23-09-2020","5,798.00","5,764.00","5,830.00","5,746.00","1.99K","0.17%"
"22-09-2020","5,788.00","5,852.00","5,852.00","5,714.00","1.60K","-0.65%"
"21-09-2020","5,826.00","5,910.00","5,978.00","5,816.00","2.15K","-1.35%"
"18-09-2020","5,906.00","5,938.00","6,020.00","5,900.00","0.12K","1.44%"
"17-09-2020","5,822.00","5,790.00","5,834.00","5,790.00","0.14K","1.08%"
"16-09-2020","5,760.00","5,760.00","5,760.00","5,760.00","0.03K","0.00%"
"15-09-2020","5,760.00","5,760.00","5,760.00","5,760.00","","0.00%"
"14-09-2020","5,760.00","5,900.00","5,900.00","5,750.00","1.14K","-2.51%"
"11-09-2020","5,908.00","5,888.00","5,994.00","5,864.00","0.84K","0.10%"
"10-09-2020","5,902.00","5,886.00","5,914.00","5,800.00","2.40K","2.11%"
"09-09-2020","5,780.00","5,754.00","5,792.00","5,736.00","1.46K","1.01%"
"08-09-2020","5,722.00","5,754.00","5,778.00","5,686.00","1.31K","-0.49%"
"07-09-2020","5,750.00","5,800.00","5,828.00","5,600.00","1.97K","-1.10%"
"04-09-2020","5,814.00","5,900.00","5,960.00","5,714.00","3.32K","-2.32%"
"03-09-2020","5,952.00","6,000.00","6,002.00","5,914.00","1.88K","-0.80%"
"02-09-2020","6,000.00","6,050.00","6,070.00","5,966.00","3.37K","-1.19%"
"01-09-2020","6,072.00","6,164.00","6,186.00","6,034.00","2.40K","-1.24%"
"31-08-2020","6,148.00","6,114.00","6,188.00","6,080.00","1.63K","0.56%"
"28-08-2020","6,114.00","6,150.00","6,206.00","6,102.00","1.19K","-0.52%"
"27-08-2020","6,146.00","6,140.00","6,214.00","6,124.00","1.45K","0.03%"
"26-08-2020","6,144.00","6,124.00","6,220.00","6,052.00","2.82K","0.00%"
"25-08-2020","6,144.00","6,148.00","6,268.00","6,114.00","3.71K","1.55%"
"24-08-2020","6,050.00","5,870.00","6,050.00","5,810.00","3.91K","3.99%"
"21-08-2020","5,818.00","5,764.00","5,840.00","5,764.00","0.46K","1.39%"
"20-08-2020","5,738.00","5,712.00","5,818.00","5,680.00","0.54K","0.60%"
"19-08-2020","5,704.00","5,844.00","5,870.00","5,796.00","0.85K","0.00%"
"18-08-2020","5,704.00","5,808.00","5,862.00","5,800.00","0.03K","0.00%"
"17-08-2020","5,704.00","5,830.00","5,830.00","5,780.00","0.11K","0.00%"
"14-08-2020","5,704.00","5,700.00","5,742.00","5,674.00","0.81K","-0.07%"
"13-08-2020","5,708.00","5,766.00","5,778.00","5,696.00","0.55K","-1.04%"
"12-08-2020","5,768.00","5,686.00","5,778.00","5,686.00","0.78K","1.16%"
"11-08-2020","5,702.00","5,760.00","5,776.00","5,642.00","0.90K","-0.87%"
"10-08-2020","5,752.00","5,870.00","5,874.00","5,712.00","2.67K","-1.20%"
"07-08-2020","5,822.00","5,828.00","5,850.00","5,792.00","1.21K","-0.31%"
"06-08-2020","5,840.00","5,840.00","5,880.00","5,820.00","1.54K","0.52%"
"05-08-2020","5,810.00","5,818.00","5,868.00","5,800.00","0.72K","-0.34%"
"04-08-2020","5,830.00","5,818.00","5,864.00","5,810.00","0.88K","-0.44%"
"03-08-2020","5,856.00","5,798.00","5,904.00","5,790.00","1.65K","1.74%"
"31-07-2020","5,756.00","5,740.00","5,790.00","5,740.00","0.48K","0.49%"
"30-07-2020","5,728.00","5,750.00","5,814.00","5,712.00","1.24K","-0.42%"
"29-07-2020","5,752.00","5,730.00","5,772.00","5,730.00","0.75K","0.28%"
"28-07-2020","5,736.00","5,796.00","5,796.00","5,718.00","0.77K","-0.69%"
"27-07-2020","5,776.00","5,880.00","5,884.00","5,746.00","1.33K","-1.47%"
"24-07-2020","5,862.00","5,840.00","5,930.00","5,822.00","2.11K","0.38%"
"23-07-2020","5,840.00","5,716.00","5,840.00","5,716.00","1.51K","1.99%"
"22-07-2020","5,726.00","5,680.00","5,750.00","5,670.00","1.18K","1.42%"
"21-07-2020","5,646.00","5,672.00","5,708.00","5,638.00","0.93K","-0.53%"
"20-07-2020","5,676.00","5,612.00","5,788.00","5,612.00","2.21K","2.83%"
"17-07-2020","5,520.00","5,520.00","5,628.00","5,490.00","0.13K","0.00%"
"16-07-2020","5,520.00","5,518.00","5,522.00","5,518.00","0.08K","-0.72%"
"15-07-2020","5,560.00","5,640.00","5,656.00","5,598.00","0.80K","0.00%"
"14-07-2020","5,560.00","5,560.00","5,560.00","5,560.00","0.09K","0.62%"
