Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
22-08-2023,59280.0,0.0,0.0,0.0,0,0.00%,36,30Nov2023,100,0
21-08-2023,59280.0,59220.0,59300.0,59220.0,5,-0.47%,36,30Nov2023,101,0
18-08-2023,59560.0,59700.0,59700.0,59400.0,14,0.10%,31,30Nov2023,104,0
17-08-2023,59500.0,59500.0,59500.0,59500.0,1,-0.50%,25,30Nov2023,105,0
16-08-2023,59800.0,59800.0,59800.0,59800.0,1,0.17%,24,30Nov2023,106,0
14-08-2023,59700.0,59700.0,59700.0,59700.0,1,0.27%,24,30Nov2023,108,0
11-08-2023,59540.0,0.0,0.0,0.0,0,0.00%,24,30Nov2023,111,0
10-08-2023,59540.0,59500.0,59700.0,59500.0,7,-0.80%,24,30Nov2023,112,0
09-08-2023,60020.0,0.0,0.0,0.0,0,0.00%,18,30Nov2023,113,0
08-08-2023,60020.0,0.0,0.0,0.0,0,0.00%,18,30Nov2023,114,0
07-08-2023,60020.0,59920.0,60480.0,59800.0,15,0.77%,18,30Nov2023,115,0
04-08-2023,59560.0,0.0,0.0,0.0,0,0.00%,8,30Nov2023,118,0
03-08-2023,59560.0,59600.0,59600.0,59500.0,3,0.74%,8,30Nov2023,119,0
02-08-2023,59120.0,0.0,0.0,0.0,0,0.00%,7,30Nov2023,120,0
01-08-2023,59120.0,0.0,0.0,0.0,0,0.00%,7,30Nov2023,121,0
31-07-2023,59120.0,0.0,0.0,0.0,0,0.00%,7,30Nov2023,122,0
28-07-2023,59120.0,0.0,0.0,0.0,0,0.00%,7,30Nov2023,125,0
27-07-2023,59120.0,59220.0,59220.0,59000.0,4,-0.47%,7,30Nov2023,126,0
26-07-2023,59400.0,0.0,0.0,0.0,0,0.00%,4,30Nov2023,127,0
25-07-2023,59400.0,59300.0,59500.0,59300.0,2,1.40%,4,30Nov2023,128,0
24-07-2023,58580.0,58580.0,58580.0,58580.0,1,1.17%,3,30Nov2023,129,0
21-07-2023,57900.0,0.0,0.0,0.0,0,0.00%,3,30Nov2023,132,0
20-07-2023,57900.0,0.0,0.0,0.0,0,0.00%,3,30Nov2023,133,0
19-07-2023,57900.0,57480.0,58860.0,57480.0,5,2.12%,3,30Nov2023,134,0
18-07-2023,56700.0,0.0,0.0,0.0,0,0.00%,0,30Nov2023,135,0
